epoch,lr,train_loss,train_accuracy,tune_loss,tune_accuracy,tune_macro_precision,tune_macro_recall,tune_macro_f1
1,0.0003,0.7034713276794978,0.8986607142857143,0.58671954870224,0.7964285714285714,0.8451342695245134,0.7964285714285715,0.8003484464920897
2,0.00029953760005996916,0.331757003068924,0.978125,0.25617189662797113,0.9910714285714286,0.991134395022618,0.9910714285714286,0.991058260840442
3,0.00029815325108927063,0.29078974553516934,0.9794642857142857,0.2624813079833984,0.9875,0.9878581835842642,0.9875,0.9874969697457956
4,0.0002958554880596515,0.26613923013210294,0.9875,0.24008518372263227,0.9928571428571429,0.9929821951098547,0.9928571428571429,0.992863021304094
5,0.00029265847744427303,0.27088314635413036,0.9839285714285714,0.26485078717981064,0.9910714285714286,0.9911971830985915,0.9910714285714286,0.9910576626580327
6,0.000288581929876693,0.2695797094276973,0.9861607142857143,0.24704478127615792,0.9964285714285714,0.9964412360688957,0.9964285714285714,0.9964285486513129
7,0.0002836509786282552,0.2576375480209078,0.9901785714285715,0.2475204016481127,0.9910714285714286,0.9911591853277941,0.9910714285714286,0.9910581474387723
8,0.00027789602465311383,0.2579310417175293,0.9897321428571428,0.23357517846993037,0.9964285714285714,0.9964412360688957,0.9964285714285714,0.9964285486513129
9,0.0002713525491562421,0.2458039130483355,0.9928571428571429,0.23282869798796518,0.9946428571428572,0.9946808510638299,0.9946428571428572,0.9946427199877109
10,0.00026406089484000466,0.24731239208153316,0.9933035714285714,0.23561667842524392,0.9964285714285714,0.9964539007092199,0.9964285714285714,0.9964220794183158
11,0.0002560660171779821,0.2505320110491344,0.9897321428571428,0.233055779337883,1.0,1.0,1.0,1.0
12,0.0002474172072495276,0.24192994449819838,0.9941964285714285,0.2331920496055058,0.9964285714285714,0.9964788732394366,0.9964285714285714,0.9964283892035308
13,0.000238167787843871,0.24242738825934274,0.9919642857142857,0.23154391731534685,0.9964285714285714,0.9964412360688957,0.9964285714285714,0.9964285486513129
14,0.00022837478470739232,0.2405278729540961,0.9946428571428572,0.23176863959857397,0.9964285714285714,0.9964788732394366,0.9964285714285714,0.9964283892035308
15,0.000218098574960932,0.23502948539597648,0.9964285714285714,0.22886108670915875,0.9982142857142857,0.99822695035461,0.9982142857142857,0.9982142629370272
16,0.00020740251485476348,0.24026784641402107,0.9946428571428572,0.23116307556629181,0.9964285714285714,0.9964412360688957,0.9964285714285714,0.9964285486513129
17,0.00019635254915624213,0.23823919764586857,0.9941964285714285,0.22594011340822492,1.0,1.0,1.0,1.0
18,0.00018501680457838585,0.23899525489125933,0.9955357142857143,0.22497540840080807,0.9982142857142857,0.99822695035461,0.9982142857142857,0.9982142629370272
19,0.00017346516975603465,0.2367563192333494,0.9955357142857143,0.22729398012161256,0.9982142857142857,0.99822695035461,0.9982142857142857,0.9982142629370272
