epoch,lr,backbone_lr,train_loss,train_accuracy,tune_loss,tune_accuracy,tune_macro_precision,tune_macro_recall,tune_macro_f1
1,0.0001,2.5e-05,0.3792533099651337,0.9521428571428572,0.2433936357498169,0.995,0.9950247524752476,0.9950000000000001,0.9949999374984375
2,9.997482711915927e-05,2.4993706779789818e-05,0.2582507594142641,0.9917857142857143,0.2315246444940567,0.9975,0.9975247524752475,0.9975,0.9974999374984375
3,9.989933382359422e-05,2.4974833455898554e-05,0.23942458271980285,0.9982142857142857,0.22590876817703248,0.9975,0.9975247524752475,0.9975,0.9974999374984375
4,9.977359612865423e-05,2.494339903216356e-05,0.2361633700983865,0.9964285714285714,0.22582579135894776,0.9975,0.9975247524752475,0.9975,0.9974999374984375
5,9.959774064153977e-05,2.4899435160384943e-05,0.23049205362796785,0.9978571428571429,0.21950138449668885,0.9975,0.9975247524752475,0.9975,0.9974999374984375
6,9.937194443381972e-05,2.484298610845493e-05,0.22355988230024065,0.9996428571428572,0.21950047135353087,1.0,1.0,1.0,1.0
7,9.909643486313533e-05,2.4774108715783832e-05,0.22216692677565983,0.9985714285714286,0.21829357147216796,0.9975,0.9975247524752475,0.9975,0.9974999374984375
8,9.877148934427037e-05,2.469287233606759e-05,0.21951358148029873,0.9992857142857143,0.2213682359457016,1.0,1.0,1.0,1.0
9,9.839743506981782e-05,2.4599358767454455e-05,0.21894315958023072,0.9967857142857143,0.2277920687198639,0.9975,0.9975247524752475,0.9975,0.9974999374984375
10,9.797464868072488e-05,2.449366217018122e-05,0.21338817843369076,0.9996428571428572,0.2115687608718872,1.0,1.0,1.0,1.0
11,9.750355588704727e-05,2.4375888971761817e-05,0.21171855977603368,0.9992857142857143,0.21212657988071443,1.0,1.0,1.0,1.0
12,9.698463103929542e-05,2.4246157759823855e-05,0.20948538133076258,0.9996428571428572,0.20753387868404388,1.0,1.0,1.0,1.0
13,9.641839665080363e-05,2.4104599162700908e-05,0.21146953003747124,0.9989285714285714,0.2140446799993515,0.9975,0.9975247524752475,0.9975,0.9974999374984375
14,9.580542287160348e-05,2.395135571790087e-05,0.20752298695700508,0.9996428571428572,0.21094793140888213,0.9975,0.9975247524752475,0.9975,0.9974999374984375
15,9.514632691433107e-05,2.3786581728582767e-05,0.2072171998023987,0.9996428571428572,0.20812371850013733,0.9975,0.9975247524752475,0.9975,0.9974999374984375
16,9.444177243274618e-05,2.3610443108186546e-05,0.20846753239631652,0.9989285714285714,0.2083317893743515,0.9975,0.9975247524752475,0.9975,0.9974999374984375
17,9.369246885348926e-05,2.3423117213372315e-05,0.20640079396111624,0.9996428571428572,0.2071576976776123,1.0,1.0,1.0,1.0
18,9.289917066174886e-05,2.3224792665437215e-05,0.20625324487686159,0.9996428571428572,0.20726901531219483,1.0,1.0,1.0,1.0
19,9.206267664155907e-05,2.3015669160389767e-05,0.2043330137218748,1.0,0.20475943744182587,1.0,1.0,1.0,1.0
20,9.118382907149165e-05,2.279595726787291e-05,0.20535660343510764,0.9992857142857143,0.20752216815948488,1.0,1.0,1.0,1.0
21,9.026351287655294e-05,2.2565878219138235e-05,0.20560579751219069,1.0,0.20427996218204497,1.0,1.0,1.0,1.0
22,8.930265473713938e-05,2.2325663684284844e-05,0.2043381312063762,1.0,0.20495495975017547,1.0,1.0,1.0,1.0
23,8.83022221559489e-05,2.2075555538987227e-05,0.2040783623286656,1.0,0.20433525800704955,1.0,1.0,1.0,1.0
24,8.726322248378775e-05,2.1815805620946937e-05,0.20431422531604768,1.0,0.2053748458623886,1.0,1.0,1.0,1.0
25,8.618670190525352e-05,2.154667547631338e-05,0.20341373213699887,1.0,0.2039428597688675,1.0,1.0,1.0,1.0
26,8.507374438531607e-05,2.1268436096329018e-05,0.20382307095187052,1.0,0.20312889754772187,1.0,1.0,1.0,1.0
27,8.392547057785661e-05,2.0981367644464152e-05,0.20377728308950152,1.0,0.2040238106250763,1.0,1.0,1.0,1.0
28,8.274303669726426e-05,2.0685759174316066e-05,0.20542179848466602,0.9996428571428572,0.20462132155895232,1.0,1.0,1.0,1.0
29,8.152763335422613e-05,2.0381908338556532e-05,0.2042455724307469,1.0,0.20565690398216246,0.9975,0.9975247524752475,0.9975,0.9974999374984375
30,8.028048435688333e-05,2.0070121089220833e-05,0.20330216569559914,1.0,0.2060113787651062,0.9975,0.9975247524752475,0.9975,0.9974999374984375
31,7.900284547855991e-05,1.9750711369639978e-05,0.20285673550197056,1.0,0.20442123591899872,1.0,1.0,1.0,1.0
32,7.769600319330552e-05,1.942400079832638e-05,0.20261653917176384,1.0,0.2033591866493225,1.0,1.0,1.0,1.0
33,7.636127338052512e-05,1.909031834513128e-05,0.20769967641149248,0.9985714285714286,0.20549833059310912,0.9975,0.9975247524752475,0.9975,0.9974999374984375
34,7.500000000000001e-05,1.8750000000000002e-05,0.2043734151976449,0.9996428571428572,0.20392856419086455,1.0,1.0,1.0,1.0
35,7.361355373863414e-05,1.8403388434658536e-05,0.20642943186419352,0.9985714285714286,0.20795942902565,0.9975,0.9975247524752475,0.9975,0.9974999374984375
36,7.220333063028872e-05,1.805083265757218e-05,0.20406994487558092,1.0,0.20427157521247863,1.0,1.0,1.0,1.0
