true_class_name,runner_up_class_name,count,min_margin,mean_margin,max_runner_up_probability,count_margin_lt_0_50,count_margin_lt_0_35,count_margin_lt_0_25
bridge,overpass,7,0.5998992325493135,0.8820852397675797,0.1589376551805458,0,0,0
railway,bridge,81,0.8102103696911447,0.9236842489655709,0.0673990596405112,0,0,0
freeway,bridge,66,0.8666547463941634,0.9367706373203945,0.0438502164403082,0,0,0
freeway,overpass,21,0.8767501722699231,0.9371315544329258,0.0331184655825448,0,0,0
railway,freeway,15,0.8936286970010174,0.929493872087759,0.0278292668005103,0,0,0
overpass,bridge,34,0.9009548898670965,0.9386989536267174,0.0316512041496891,0,0,0
overpass,railway,26,0.9047341789786403,0.9461246817388956,0.0262151786417353,0,0,0
bridge,freeway,93,0.9136728327507655,0.9406316556612588,0.022928876097207,0,0,0
railway,overpass,4,0.9213902535200739,0.9345920527115953,0.0210151700821397,0,0,0
overpass,freeway,40,0.9245247240996707,0.9470400505840466,0.0226530210311215,0,0,0
freeway,railway,13,0.9336863991320671,0.9473951132306048,0.0180247058475549,0,0,0
